WAA ID,BASIN,LOCATION,RIVMILE,COLL_DATE,COLLECT,Replicate,MACRO_GENSPECIES,INDIV,Stage,TAXONOMIST,WAA Project ID,Comments,#_Grids,PercentWTSorted,TotalInd,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Nais sp.,2,L,WAA,470.12,damaged,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Paragnetina immarginata,3,L,WAA,470.12,1 aggregated - immature,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Parametriocnemus sp.,1,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Pisidium sp.,1,L,WAA,470.12,damaged,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Polycentropus sp.,2,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Polypedilum aviceps,5,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Polypedilum flavum,2,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Psephenus herricki,2,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Rheotanytarsus exiguus gr.,2,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Rhyacophila sp.,1,L,WAA,470.12,immature,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Simulium sp.,1,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Tipula sp.,2,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Tricorythodes sp.,1,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Tvetenia bavarica gr.,1,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Undetermined Baetidae,1,L,WAA,470.12,"unique, damaged",,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Undetermined Ephemerellidae,1,L,WAA,470.12,immature,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Undetermined Nemertea,1,L,WAA,470.12,,,23.23,100,
470.12-001,,BEER_W,0.2,7/27/2017,1,,Undetermined Orthocladiinae,1,L,WAA,470.12,imm/damaged/unique,,23.23,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Acroneuria abnormis,1,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Antocha sp.,1,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Baetis brunneicolor,5,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Baetis flavistriga,4,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Cambarus sp.,1,L,WAA,470.12,immature,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Ceratopsyche sparna,5,L,WAA,470.12,1 aggregated - immature,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Cheumatopsyche sp.,4,L,WAA,470.12,1 aggregated - immature,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Cricotopus/Orthocladius Complex,4,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Dicranota sp.,5,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Dolophilodes sp.,8,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Ectopria sp.,1,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Epeorus sp.,1,L,WAA,470.12,immature,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Heptagenia sp.,12,L,WAA,470.12,2 aggregated - immature,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Hexatoma sp.,1,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Leuctra sp.,7,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Maccaffertium sp.,2,L,WAA,470.12,immature,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Nigronia serricornis,2,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Optioservus sp.,1,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Oulimnius sp.,2,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Pagastia orthogonia,1,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Paraleptophlebia sp.,4,L,WAA,470.12,Neoleptophlebia sp.,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Parametriocnemus sp.,2,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Polypedilum aviceps,11,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Promoresia tardella,1,L,WAA,470.12,P. tardella is now Optioservus tardellus,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Rheocricotopus sp.,2,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Rheotanytarsus exiguus gr.,2,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Stempellinella sp.,1,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Stenelmis sp.,1,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Tanytarsus sp.,5,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Thienemannimyia gr. spp.,1,L,WAA,470.12,,,37.33,100,
470.12-002,,BLAG,3.4,7/6/2017,1,,Tvetenia bavarica gr.,2,L,WAA,470.12,,,37.33,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Baetis flavistriga,7,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Caecidotea sp.,8,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Ceratopsyche morosa,1,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Cheumatopsyche sp.,6,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Chimarra aterrima?,11,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Diamesa sp.,2,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Hydropsyche betteni,17,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Lepidostoma sp.,2,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Optioservus sp.,2,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Psephenus herricki,15,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Rheotanytarsus sp.,1,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Simulium sp.,1,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Stenelmis sp.,21,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Tvetenia bavarica gr.,1,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Undetermined Hirudinea,1,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Undetermined Nematoda,1,L,WAA,470.12,,,23.91,100,
470.12-003,,CASP,1.7,7/26/2017,1,,Undetermined Turbellaria,3,L,WAA,470.12,,,23.91,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Acentrella turbida,11,L,WAA,470.12,2 aggregated - damaged,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Baetis flavistriga,2,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Baetis intercalaris,5,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Ceratopsyche morosa,4,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Cheumatopsyche sp.,7,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Chimarra obscura,4,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Corydalus cornutus,2,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Dineutus sp.,1,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Epeorus vitreus,6,L,WAA,470.12,2 aggregated - immature,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Gammarus sp.,1,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Hydropsyche sp.,2,L,WAA,470.12,1 aggregated - immature; nr H. dicantha,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Isonychia sp.,4,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Leucrocuta sp.,6,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Maccaffertium sp.,8,L,WAA,470.12,3 aggregated - damaged,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Optioservus sp.,4,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Psephenus herricki,1,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Rheotanytarsus exiguus gr.,12,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Serratella deficiens,10,L,WAA,470.12,"6 aggregated - immature, damaged; S. deficiens is now Teloganopsis deficiens",,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Simulium sp.,1,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Stenelmis sp.,7,L,WAA,470.12,,,12.38,100,
470.12-004,,CATS,6.2,7/26/2017,1,,Tvetenia vitracies,2,L,WAA,470.12,,,12.38,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Acentrella turbida,4,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Baetis flavistriga,13,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Baetis intercalaris,8,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Ceratopsyche morosa,8,L,WAA,470.12,1 aggregated - immature,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Cheumatopsyche sp.,6,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Chimarra obscura,6,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Dubiraphia sp.,1,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Gammarus sp.,6,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Hydropsyche sp.,2,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Hydroptila sp.,1,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Isonychia sp.,1,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Macrostemum sp.,3,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Neureclipsis sp.,3,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Optioservus sp.,3,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Orconectes sp.,1,L,WAA,470.12,immature,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Polypedilum flavum,4,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Pristinella jenkinae,1,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Promoresia elegans,3,L,WAA,470.12,P. elegans is now in Optioservus,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Psephenus herricki,2,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Rheotanytarsus exiguus gr.,3,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Rhyacophila fuscula,2,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Serratella deficiens,1,L,WAA,470.12,S. deficiens is now Teloganopsis deficiens,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Simulium sp.,5,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Stenelmis sp.,8,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Stenelmis sp.,1,A,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Tvetenia vitracies,1,L,WAA,470.12,,,18.61,100,
470.12-005,,CLAV,0.5,7/24/2017,1,,Undetermined Turbellaria,3,L,WAA,470.12,,,18.61,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Acroneuria abnormis,5,L,WAA,470.12,4 aggregated - immature,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Ceratopsyche sp.,1,L,WAA,470.12,immature,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Cheumatopsyche sp.,16,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Chimarra aterrima?,1,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Cordulegaster sp.,1,L,WAA,470.12,nr. C. sayi,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Diplectrona sp.,9,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Dolophilodes sp.,14,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Ectopria sp.,2,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Hemerodromia sp.,2,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Hydropsyche betteni,3,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Leuctra sp.,11,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Micropsectra/Tanytarsus Complex,1,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Microtendipes pedellus gr.,1,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Microtendipes rydalensis gr.,1,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Nigronia serricornis,4,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Parametriocnemus sp.,10,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Psephenus herricki,1,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Rheotanytarsus exiguus gr.,1,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Rhyacophila carolina?,9,L,WAA,470.12,8 aggregated - immature,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Stempellinella sp.,1,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Tvetenia bavarica gr.,3,L,WAA,470.12,,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Undetermined Chloroperlidae,1,L,WAA,470.12,immature,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Undetermined Gomphidae,1,L,WAA,470.12,immature,,28.31,100,
470.12-006,,CNOP_T,0.1,7/26/2017,1,,Undetermined Physidae,1,L,WAA,470.12,damaged,,28.31,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Baetis sp.,1,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Cheumatopsyche sp.,5,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Crangonyx sp.,1,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Cricotopus trifascia gr.,9,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Cricotopus/Orthocladius Complex,5,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Eukiefferiella devonica gr.,10,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Gammarus sp.,2,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Hydropsyche betteni,11,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Polypedilum flavum,25,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Promoresia sp.,3,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Rheotanytarsus exiguus gr.,5,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Simulium sp.,11,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Stenelmis sp.,1,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Tvetenia bavarica gr.,1,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Tvetenia vitracies,3,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Undetermined Empididae,2,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Undetermined Hydroptilidae,1,L,WAA,470.12,,,7.19,100,
470.12-007,,COEY,0.3,7/26/2017,1,,Undetermined Turbellaria,4,L,WAA,470.12,,,7.19,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Atherix sp.,1,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Baetis sp.,7,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Ceratopsyche sparna,2,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Cheumatopsyche sp.,15,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Chimarra aterrima?,5,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Cricotopus bicinctus,1,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Cricotopus/Orthocladius Complex,2,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Diamesa sp.,2,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Dineutus sp.,1,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Isonychia sp.,1,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Maccaffertium mediopunctatum,2,L,WAA,470.12,1 lumped,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Microtendipes pedellus gr.,1,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Nigronia serricornis,1,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Optioservus sp.,8,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Oulimnius sp.,3,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Polypedilum flavum,4,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Pseudochironomus sp.,2,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Rheotanytarsus exiguus gr.,4,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Rheotanytarsus pellucidus,1,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Serratella deficiens,7,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Simulium sp.,1,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Stenelmis sp.,24,L,WAA,470.12,1 Adult,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Sublettea sp.,1,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Undetermined Chironomidae,1,L,WAA,470.12,damaged,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Undetermined Empididae,1,L,WAA,470.12,,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Undetermined Gomphidae,1,L,WAA,470.12,imm,,4.88,100,
470.12-008,,CROI,2.3,7/26/2017,1,,Undetermined Turbellaria,1,L,WAA,470.12,,,4.88,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Acentrella sp.,1,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Acerpenna macdunnoughi,1,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Acroneuria carolinensis,1,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Agnetina annulipes,2,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Baetis flavistriga,9,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Baetis intercalaris,3,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Ceratopsyche morosa,2,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Ceratopsyche slossonae,2,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Ceratopsyche sparna,3,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Cheumatopsyche sp.,2,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Chimarra aterrima?,6,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Cricotopus/Orthocladius Complex,3,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Epeorus vitreus,2,L,WAA,470.12,"1 aggregated, immature",,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Hydropsyche betteni,8,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Isonychia sp.,1,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Leucrocuta sp.,4,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Maccaffertium modestum,25,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Optioservus sp.,1,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Orconectes sp.,1,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Paragnetina immarginata,1,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Parametriocnemus sp.,1,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Polypedilum aviceps,1,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Polypedilum flavum,5,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Psephenus herricki,4,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Rheocricotopus sp.,1,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Rhyacophila sp.,1,L,WAA,470.12,immature,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Simulium sp.,2,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Stenelmis sp.,5,L,WAA,470.12,,,4.4,100,
470.12-009,,CROI,16.2,7/26/2017,1,,Tvetenia bavarica gr.,1,L,WAA,470.12,,,4.4,100,
