,FINAL_ID,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,MACRO_GENSPECIES,FEEDINGHAB,TOLERANCE,NBI_P_TOLERANCE,NBI_N_TOLERANCE,TOLNAME,CLASSIFIER,PREVNAMES,COMMONNAME,REFERENCE
255,ABLABESMYIA_SIMPSONI,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,ABLABESMYIA_SIMPSONI,ABLABESMYIA SIMPSONI,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,95
256,ABLABESMYIA_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ABLABESMYIA,ABLABESMYIA,ABLABESMYIA SP.,PRD,8,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,95
886,ACENTRELLA_AMPLA,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIDAE,ACENTRELLA,ACENTRELLA_AMPLA,ACENTRELLA AMPLA,C-G,6,NA,NA,FACULTATIVE,EPHEMEROPTERA,BAETIS AMPLUS,MAYFLY,"74,119"
994,ACENTRELLA_SP.,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIDAE,ACENTRELLA,ACENTRELLA,ACENTRELLA SP.,C-G,4,5,5,INTOLERANT,EPHEMEROPTERA,PSEUDOCLOEON SP.,MAYFLY,83
887,ACENTRELLA_TURBIDA,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIDAE,ACENTRELLA,ACENTRELLA_TURBIDA,ACENTRELLA TURBIDA,C-G,4,NA,NA,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,83
128,ACENTRIA_SP.,ARTHROPODA,INSECTA,LEPIDOPTERA,PYRALIDAE,PYRALIDAE,ACENTRIA,ACENTRIA,ACENTRIA SP.,SHR,5,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,MOTH,"83,66"
995,ACERPENNA_MACDUNNOUGHI,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIDAE,ACERPENNA,ACERPENNA,ACERPENNA MACDUNNOUGHI,C-G,5,NA,NA,FACULTATIVE,EPHEMEROPTERA,BAETIS MACDUNNOUGHI,MAYFLY,"74,120"
996,ACERPENNA_PYGMAEA,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIDAE,ACERPENNA,ACERPENNA,ACERPENNA PYGMAEA,C-G,4,0,4,INTOLERANT,EPHEMEROPTERA,BAETIS PYGMAEUS,MAYFLY,"74,120"
997,ACERPENNA_SP.,ARTHROPODA,INSECTA,EPHEMEROPTERA,BAETIDAE,BAETIDAE,ACERPENNA,ACERPENNA,ACERPENNA SP.,C-G,4,NA,NA,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,"74,120"
355,ACRICOTOPUS_NITIDELLUS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,ACRICOTOPUS,ACRICOTOPUS_NITIDELLUS,ACRICOTOPUS NITIDELLUS,C-G,10,NA,NA,TOLERANT,CHIRONOMIDAE,ACRICOTOPUS SP.,MIDGE,"124,36"
356,ACRICOTOPUS_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,ORTHOCLADIINAE,ACRICOTOPUS,ACRICOTOPUS,ACRICOTOPUS SP.,C-G,10,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,"124,36"
416,ACRONEURIA_ABNORMIS,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,PERLIDAE,ACRONEURIA,ACRONEURIA_ABNORMIS,ACRONEURIA ABNORMIS,PRD,0,0,0,INTOLERANT,PLECOPTERA,NA,STONEFLY,"55,114"
417,ACRONEURIA_ARENOSA,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,PERLIDAE,ACRONEURIA,ACRONEURIA_ARENOSA,ACRONEURIA ARENOSA,PRD,0,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,"55, 114"
418,ACRONEURIA_CAROLINENSIS,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,PERLIDAE,ACRONEURIA,ACRONEURIA_CAROLINENSIS,ACRONEURIA CAROLINENSIS,PRD,0,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,"55,114"
419,ACRONEURIA_LYCORIAS,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,PERLIDAE,ACRONEURIA,ACRONEURIA_LYCORIAS,ACRONEURIA LYCORIAS,PRD,0,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,"55,114"
420,ACRONEURIA_SP.,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,PERLIDAE,ACRONEURIA,ACRONEURIA,ACRONEURIA SP.,PRD,0,0,0,INTOLERANT,PLECOPTERA,NA,STONEFLY,"55,114"
1247,ADICROPHLEPS_HITCHCOCKI,ARTHROPODA,INSECTA,TRICHOPTERA,BRACHYCENTRIDAE,BRACHYCENTRIDAE,ADICROPHLEPS,ADICROPHLEPS_HITCHCOCKI,ADICROPHLEPS HITCHCOCKI,SHR,2,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
1248,ADICROPHLEPS_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,BRACHYCENTRIDAE,BRACHYCENTRIDAE,ADICROPHLEPS,ADICROPHLEPS,ADICROPHLEPS SP.,SHR,2,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
1257,AEOLOSOMA_HEADLEYI?,ANNELIDA,APHANONEURA,AEOLOSOMATIDA,AEOLOSOMATIDAE,AEOLOSOMATIDAE,AEOLOSOMA,AEOLOSOMA_HEADLEYI,AEOLOSOMA HEADLEYI?,C-F,8,NA,NA,TOLERANT,OTHER,NA,WORM,29
1258,AEOLOSOMA_LEIDYI?,ANNELIDA,APHANONEURA,AEOLOSOMATIDA,AEOLOSOMATIDAE,AEOLOSOMATIDAE,AEOLOSOMA,AEOLOSOMA_LEIDYI,AEOLOSOMA LEIDYI?,C-F,8,NA,NA,TOLERANT,OTHER,NA,WORM,29
1259,AEOLOSOMA_QUARTERNARIUM?,ANNELIDA,APHANONEURA,AEOLOSOMATIDA,AEOLOSOMATIDAE,AEOLOSOMATIDAE,AEOLOSOMA,AEOLOSOMA,AEOLOSOMA QUARTERNARIUM?,C-F,8,NA,NA,TOLERANT,OTHER,NA,WORM,29
1262,AEOLOSOMA_SP.,ANNELIDA,APHANONEURA,AEOLODOMATIDA,AEOLOSOMATIDAE,AEOLOSOMATIDAE,AEOLOSOMA,AEOLOSOMA,AEOLOSOMA SP.,C-F,8,NA,NA,TOLERANT,OTHER,NA,WORM,29
1260,AEOLOSOMA_TENEBRARUM?,ANNELIDA,APHANONEURA,AEOLOSOMATIDA,AEOLOSOMATIDAE,AEOLOSOMATIDAE,AEOLOSOMA,AEOLOSOMA_TENEBRARUM,AEOLOSOMA TENEBRARUM?,C-F,8,NA,NA,TOLERANT,OTHER,NA,WORM,29
1261,AEOLOSOMA_TRAVANCORENSE?,ANNELIDA,APHANONEURA,AEOLOSOMATIDA,AEOLOSOMATIDAE,AEOLOSOMATIDAE,AEOLOSOMA,AEOLOSOMA_TRAVANCORENSE,AEOLOSOMA TRAVANCORENSE?,C-F,8,NA,NA,TOLERANT,OTHER,NA,WORM,29
1335,AESHNA_SP.,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,AESHNIDAE,AESHNA,AESHNA,AESHNA SP.,PRD,5,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,DRAGONFLY,122
476,AGABETES_SP.,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,DYTISCIDAE,AGABETES,AGABETES,AGABETES SP.,PRD,5,NA,NA,FACULTATIVE,COLEOPTERA,NA,BEETLE,"83,123"
477,AGABUS_SP.,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,DYTISCIDAE,AGABUS,AGABUS,AGABUS SP.,PRD,5,NA,NA,FACULTATIVE,COLEOPTERA,NA,BEETLE,"83,123"
1204,AGAPETUS_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,GLOSSOSOMATIDAE,GLOSSOSOMATIDAE,AGAPETUS,AGAPETUS,AGAPETUS SP.,SCR,0,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
1331,AGARODES_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,SERICOSTOMATIDAE,SERICOSTOMATIDAE,AGARODES,AGARODES,AGARODES SP.,NA,NA,NA,NA,NA,NA,NA,CADDIS,NA
421,AGNETINA_ANNULIPES,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,PERLIDAE,AGNETINA,AGNETINA,AGNETINA ANNULIPES,PRD,2,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,"112,114"
422,AGNETINA_CAPITATA,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,PERLIDAE,AGNETINA,AGNETINA,AGNETINA CAPITATA,PRD,2,3,6,INTOLERANT,PLECOPTERA,"PHASGANOPHORA CAPITATA, NEOPHASGANOPHORA CAPITATA",STONEFLY,"112,114"
423,AGNETINA_FLAVESCENS,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,PERLIDAE,AGNETINA,AGNETINA,AGNETINA FLAVESCENS,PRD,2,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,"112,114"
424,AGNETINA_SP.,ARTHROPODA,INSECTA,PLECOPTERA,PERLIDAE,PERLIDAE,AGNETINA,AGNETINA,AGNETINA SP.,PRD,2,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,"112,114"
1209,AGRAYLEA_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,HYDROPTILIDAE,AGRAYLEA,AGRAYLEA,AGRAYLEA SP.,C-G,8,NA,NA,TOLERANT,TRICHOPTERA,NA,CADDISFLY,125
1210,ALISOTRICHIA_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPTILIDAE,HYDROPTILIDAE,ALISOTRICHIA,ALISOTRICHIA,ALISOTRICHIA SP.,SCR,6,NA,NA,FACULTATIVE,TRICHOPTERA,NA,CADDISFLY,125
676,ALLOCAPNIA_SP.,ARTHROPODA,INSECTA,PLECOPTERA,CAPNIIDAE,CAPNIIDAE,ALLOCAPNIA,ALLOCAPNIA,ALLOCAPNIA SP.,SHR,3,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,"52,114"
675,ALLOCAPNIA_VIVIPARA,ARTHROPODA,INSECTA,PLECOPTERA,CAPNIIDAE,CAPNIIDAE,ALLOCAPNIA,ALLOCAPNIA_VIVIPARA,ALLOCAPNIA VIVIPARA,SHR,3,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,"52,114"
440,ALLOPERLA_SP.,ARTHROPODA,INSECTA,PLECOPTERA,CHLOROPERLIDAE,CHLOROPERLIDAE,ALLOPERLA,ALLOPERLA,ALLOPERLA SP.,C-G,0,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,"83,114"
871,ALMYRACUMA_PROXIMOCULI,ARTHROPODA,CRUSTACEA,CUMACEA,NANNASTACIDAE,NANNASTACIDAE,ALMYRACUMA,ALMYRACUMA_PROXIMOCULI,ALMYRACUMA PROXIMOCULI,C-G,5,NA,NA,FACULTATIVE,CRUSTACEA,NA,CRUSTACEAN,48
872,ALMYRACUMA_SP.,ARTHROPODA,CRUSTACEA,CUMACEA,NANNASTACIDAE,NANNASTACIDAE,ALMYRACUMA,ALMYRACUMA,ALMYRACUMA SP.,C-G,5,NA,NA,FACULTATIVE,CRUSTACEA,NA,CRUSTACEAN,48
257,ALOTANYPUS_ARIS,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ALOTANYPUS,ALOTANYPUS_ARIS,ALOTANYPUS ARIS,PRD,9,NA,NA,TOLERANT,CHIRONOMIDAE,ALOTANYPUS SP.,MIDGE,36
258,ALOTANYPUS_SP.,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,ALOTANYPUS,ALOTANYPUS,ALOTANYPUS SP.,PRD,9,NA,NA,TOLERANT,CHIRONOMIDAE,NA,MIDGE,36
877,AMELETUS_LUDENS,ARTHROPODA,INSECTA,EPHEMEROPTERA,AMELETIDAE,AMELETIDAE,AMELETUS,AMELETUS_LUDENS,AMELETUS LUDENS,C-G,0,NA,NA,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,"83,34"
878,AMELETUS_SP.,ARTHROPODA,INSECTA,EPHEMEROPTERA,AMELETIDAE,AMELETIDAE,AMELETUS,AMELETUS,AMELETUS SP.,C-G,0,NA,NA,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,83
39,AMNICOLA_DECEPTA,MOLLUSCA,GASTROPODA,MESOGASTROPODA,HYDROBIIDAE,HYDROBIIDAE,AMNICOLA,AMNICOLA_DECEPTA,AMNICOLA DECEPTA,SCR,5,NA,NA,FACULTATIVE,MOLLUSCA,AMNICOLA LUSTRICA,SNAIL,"83,60"
40,AMNICOLA_GRANA,MOLLUSCA,GASTROPODA,MESOGASTROPODA,HYDROBIIDAE,HYDROBIIDAE,AMNICOLA,AMNICOLA,AMNICOLA GRANA,SCR,5,NA,NA,FACULTATIVE,MOLLUSCA,NA,SNAIL,"60,83"
41,AMNICOLA_LIMOSA,MOLLUSCA,GASTROPODA,MESOGASTROPODA,HYDROBIIDAE,HYDROBIIDAE,AMNICOLA,AMNICOLA_LIMOSA,AMNICOLA LIMOSA,SCR,5,NA,NA,FACULTATIVE,MOLLUSCA,NA,SNAIL,"60,83"
42,AMNICOLA_SP.,MOLLUSCA,GASTROPODA,MESOGASTROPODA,HYDROBIIDAE,HYDROBIIDAE,AMNICOLA,AMNICOLA,AMNICOLA SP.,SCR,5,NA,NA,FACULTATIVE,MOLLUSCA,NA,SNAIL,"60,83"
542,AMPHICHAETA_AMERICANA,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,AMPHICHAETA,AMPHICHAETA,AMPHICHAETA AMERICANA,C-G,6,NA,NA,FACULTATIVE,OLIGOCHAETA,NA,WORM,"18,83"
543,AMPHICHAETA_SP.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,AMPHICHAETA,AMPHICHAETA,AMPHICHAETA SP.,C-G,6,NA,NA,FACULTATIVE,OLIGOCHAETA,NA,WORM,"18,83"
686,AMPHINEMURA_DELOSA,ARTHROPODA,INSECTA,PLECOPTERA,NEMOURIDAE,NEMOURIDAE,AMPHINEMURA,AMPHINEMURA_DELOSA,AMPHINEMURA DELOSA,SHR,3,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,54
687,AMPHINEMURA_NIGRITTA,ARTHROPODA,INSECTA,PLECOPTERA,NEMOURIDAE,NEMOURIDAE,AMPHINEMURA,AMPHINEMURA_NIGRITTA,AMPHINEMURA NIGRITTA,SHR,3,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,54
689,AMPHINEMURA_SP.,ARTHROPODA,INSECTA,PLECOPTERA,NEMOURIDAE,NEMOURIDAE,AMPHINEMURA,AMPHINEMURA,AMPHINEMURA SP.,SHR,3,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,"83,114"
688,AMPHINEMURA_WUI,ARTHROPODA,INSECTA,PLECOPTERA,NEMOURIDAE,NEMOURIDAE,AMPHINEMURA,AMPHINEMURA_WUI,AMPHINEMURA WUI,SHR,3,NA,NA,INTOLERANT,PLECOPTERA,NA,STONEFLY,54
710,ANACAENA_SP.,ARTHROPODA,INSECTA,COLEOPTERA,HYDROPHILIDAE,HYDROPHILIDAE,ANACAENA,ANACAENA,ANACAENA SP.,C-G,5,NA,NA,FACULTATIVE,COLEOPTERA,NA,BEETLE,"83,123"
589,ANAX_LONGIPES,ARTHROPODA,INSECTA,ODONATA,AESHNIDAE,AESHNIDAE,ANAX,ANAX,ANAX LONGIPES,PRD,7,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,DRAGONFLY,NA
734,ANCHYTARSUS_BICOLOR,ARTHROPODA,INSECTA,COLEOPTERA,PTILODACTYLIDAE,PTILODACTYLIDAE,ANCHYTARSUS,ANCHYTARSUS_BICOLOR,ANCHYTARSUS BICOLOR,SHR,3,NA,NA,INTOLERANT,COLEOPTERA,NA,BEETLE,19
1336,ANCHYTARSUS_SP.,ARTHROPODA,INSECTA,COLEOPTERA,PTILODACTYLIDAE,PTILODACTYLIDAE,ANCHYTARSUS,ANCHYTARSUS,ANCHYTARSUS SP.,SHR,3,NA,NA,INTOLERANT,COLEOPTERA,NA,BEETLE,19
742,ANCYRONYX_SP.,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ELMIDAE,ANCYRONYX,ANCYRONYX,ANCYRONYX SP.,C-G,5,NA,NA,FACULTATIVE,COLEOPTERA,NA,BEETLE,19
741,ANCYRONYX_VARIEGATUS,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,ELMIDAE,ANCYRONYX,ANCYRONYX_VARIEGATUS,ANCYRONYX VARIEGATUS,C-G,5,NA,NA,FACULTATIVE,COLEOPTERA,NA,BEETLE,19
652,ANODONTA_IMPLICATA,MOLLUSCA,PELECYPODA,UNIONIDA,UNIONIDAE,UNIONIDAE,ANODONTA,ANODONTA_IMPLICATA,ANODONTA IMPLICATA,C-F,6,NA,NA,FACULTATIVE,MOLLUSCA,NA,CLAM,"116,83,3"
653,ANODONTA_SP.,MOLLUSCA,PELECYPODA,UNIONIDA,UNIONIDAE,UNIONIDAE,ANODONTA,ANODONTA,ANODONTA SP.,C-F,6,NA,NA,FACULTATIVE,MOLLUSCA,NA,CLAM,"116,83,3"
165,ANOPHELES_SP.,ARTHROPODA,INSECTA,DIPTERA,CULICIDAE,CULICIDAE,ANOPHELES,ANOPHELES,ANOPHELES SP.,C-F,8,NA,NA,TOLERANT,INSECTS-OTHER,NA,MOSQUITO,83
10,ANTHOPOTAMUS_SP.,ARTHROPODA,INSECTA,EPHEMEROPTERA,POTAMANTHIDAE,POTAMANTHIDAE,ANTHOPOTAMUS,ANTHOPOTAMUS,ANTHOPOTAMUS SP.,C-G,4,4,5,INTOLERANT,EPHEMEROPTERA,POTAMANTHUS SP.,MAYFLY,"83,73"
588,ANTHOPOTAMUS_VERTICUS,ARTHROPODA,INSECTA,EPHEMEROPTERA,POTAMANTHIDAE,POTAMANTHIDAE,ANTHOPOTAMUS,ANTHOPOTAMUS_VERTICUS,ANTHOPOTAMUS VERTICUS,C-G,4,NA,NA,INTOLERANT,EPHEMEROPTERA,POTAMANTHUS VERTICUS,MAYFLY,"72,73"
138,ANTOCHA_SP.,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,TIPULIDAE,ANTOCHA,ANTOCHA,ANTOCHA SP.,C-G,3,8,6,INTOLERANT,INSECTS-OTHER,ANTOCHA SAXICOLA,CRANE FLY,"83,25"
136,ANTOCHA_SP._1,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,TIPULIDAE,ANTOCHA,ANTOCHA,ANTOCHA SP. 1,C-G,3,NA,NA,INTOLERANT,INSECTS-OTHER,NA,CRANE FLY,"83,25"
137,ANTOCHA_SP._2,ARTHROPODA,INSECTA,DIPTERA,TIPULIDAE,TIPULIDAE,ANTOCHA,ANTOCHA,ANTOCHA SP. 2,C-G,3,NA,NA,INTOLERANT,INSECTS-OTHER,NA,CRANE FLY,"83,25"
1279,APATANIA_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,APATANIIDAE,APATANIIDAE,APATANIA,APATANIA,APATANIA SP.,SCR,3,3,4,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,125
259,APSECTROTANYPUS_JOHNSONI,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,TANYPODINAE,APSECTROTANYPUS,APSECTROTANYPUS_JOHNSONI,APSECTROTANYPUS JOHNSONI,PRD,7,NA,NA,FACULTATIVE,CHIRONOMIDAE,APSECTROTANYPUS SP.,MIDGE,"92,36"
544,ARCTEONAIS_LOMONDI,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,ARCTEONAIS,ARCTEONAIS,ARCTEONAIS LOMONDI,C-G,6,NA,NA,FACULTATIVE,OLIGOCHAETA,NA,WORM,"18,83"
545,ARCTEONAIS_SP.,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,NAIDIDAE,NAIDIDAE,ARCTEONAIS,ARCTEONAIS,ARCTEONAIS SP.,C-G,6,NA,NA,FACULTATIVE,OLIGOCHAETA,NA,WORM,"18,83"
1141,ARCTOPSYCHE_LADOGENSIS,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPSYCHIDAE,HYDROPSYCHIDAE,ARCTOPSYCHE,ARCTOPSYCHE_LADOGENSIS,ARCTOPSYCHE LADOGENSIS,C-F,1,NA,NA,INTOLERANT,NA,NA,CADDISFLY,"125,83"
1140,ARCTOPSYCHE_SP.,ARTHROPODA,INSECTA,TRICHOPTERA,HYDROPSYCHIDAE,HYDROPSYCHIDAE,ARCTOPSYCHE,ARCTOPSYCHE,ARCTOPSYCHE SP.,C-F,1,NA,NA,INTOLERANT,TRICHOPTERA,NA,CADDISFLY,"125,83"
627,ARGIA_MOESTA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,COENAGRIONIDAE,ARGIA,ARGIA_MOESTA,ARGIA MOESTA,PRD,6,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,DAMSELFLY,"83,122"
628,ARGIA_SP.,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,COENAGRIONIDAE,ARGIA,ARGIA,ARGIA SP.,PRD,6,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,DAMSELFLY,"83,122"
899,ARRENURUS_SP.,ARTHROPODA,ARACHNOIDEA,ARACHNOIDEA,ARRENURIDAE,ARRENURIDAE,ARRENURUS,ARRENURUS,ARRENURUS SP.,PRD,6,NA,NA,FACULTATIVE,OTHER,NA,MITE,108
221,ATHERIX_SP.,ARTHROPODA,INSECTA,DIPTERA,ATHERICIDAE,ATHERICIDAE,ATHERIX,ATHERIX,ATHERIX SP.,PRD,4,8,5,INTOLERANT,INSECTS-OTHER,NA,SNIPE FLY,117
901,ATRACTIDES_SP.,ARTHROPODA,ARACHNOIDEA,ARACHNOIDEA,ATRACTIDEIDAE,ATRACTIDEIDAE,ATRACTIDES,ATRACTIDES,ATRACTIDES SP.,PRD,6,NA,NA,FACULTATIVE,OTHER,NA,MITE,108
167,ATRICHOPOGON_SP.,ARTHROPODA,INSECTA,DIPTERA,CERATOPOGONIDAE,CERATOPOGONIDAE,ATRICHOPOGON,ATRICHOPOGON,ATRICHOPOGON SP.,PRD,6,NA,NA,FACULTATIVE,INSECTS-OTHER,NA,PUNKIE,83
499,ATTENELLA_ATTENUATA,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,ATTENELLA,ATTENELLA_ATTENUATA,ATTENELLA ATTENUATA,C-G,1,NA,NA,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,2
516,ATTENELLA_MARGARITA,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,ATTENELLA,ATTENELLA_MARGARITA,ATTENELLA MARGARITA,C-G,1,NA,NA,INTOLERANT,EPHEMEROPTERA,EPHEMERELLA MARGARITA,MAYFLY,2
517,ATTENELLA_SP.,ARTHROPODA,INSECTA,EPHEMEROPTERA,EPHEMERELLIDAE,EPHEMERELLIDAE,ATTENELLA,ATTENELLA,ATTENELLA SP.,C-G,1,NA,NA,INTOLERANT,EPHEMEROPTERA,NA,MAYFLY,2
565,AULODRILUS_AMERICANUS,ANNELIDA,OLIGOCHAETA,TUBIFICIDA,TUBIFICIDAE,TUBIFICIDAE,AULODRILUS,AULODRILUS_AMERICANUS,AULODRILUS AMERICANUS,C-G,7,NA,NA,TOLERANT,OLIGOCHAETA,NA,WORM,"18,83"
